Spacecraft,Rocket,Company,Date of Launch
NROL-91,Delta IV Heavy,United Launch Alliance,24-Sep-22
Unknown,Kuaizhou-1A,ExPace,24-Sep-22
Starlink Group 4-35,Falcon 9 Block 5,SpaceX,24-Sep-22
Yaogan 35 Group 06,Long March 2D,China Aerospace Science and Technology Corporation,26-Sep-22
Unknown,Long March 2D,China Aerospace Science and Technology Corporation,26-Sep-22
Artemis I,SLS Block 1,National Aeronautics and Space Administration,27-Sep-22
Maiden Flight,Zhuque-2,LandSpace,29-Sep-22
Starlink Group 4-36,Falcon 9 Block 5,SpaceX,29-Sep-22
FLTA002 (To The Black),Firefly Alpha,Firefly Aerospace,30-Sep-22
SES-20 & SES-21,Atlas V 531,United Launch Alliance,30-Sep-22
